sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
13065;SDS011;6599;52.479;13.347;2019-01-01T00:00:06;136.93;;;92.37;;
7156;SDS011;3620;49.862;8.757;2019-01-01T00:00:06;148.33;;;84.60;;
14988;SDS011;7590;48.492;9.033;2019-01-01T00:00:06;157.40;;;76.60;;
18222;SDS011;9236;47.099;15.429;2019-01-01T00:00:06;15.83;;;13.63;;
2001;SDS011;1003;48.003;7.789;2019-01-01T00:00:06;166.93;;;50.00;;
12086;SDS011;6106;48.841;9.189;2019-01-01T00:00:06;172.93;;;133.53;;
12451;SDS011;6291;48.924;12.204;2019-01-01T00:00:06;17.40;;;10.40;;
17451;SDS011;8843;48.838;9.324;2019-01-01T00:00:06;175.90;;;108.80;;
5730;SDS011;2890;51.950;7.669;2019-01-01T00:00:06;19.83;;;13.43;;
15706;SDS011;7953;54.301;10.128;2019-01-01T00:00:06;20.50;;;11.03;;
10343;SDS011;5217;43.959;10.954;2019-01-01T00:00:06;20.80;;;17.63;;
